Date,TimeOfDay,Soil_ph,Iron,Manganese,Zinc,Copper,Boron,Molybdenum,Chlorine,Nickel,Potassium,Sodium,Nitrogen,Calcium,Sulphur,Phosphorus,Relative_Humidity,Temperature,Water,Radiation
2018-01-01,morning,5.62,9.99,42.74,0.97,0.29,0.57,0.024,1.93,0.066,18.19,19.05,18.86,26.01,18.7,2.36,81.61,22.06,4.39,499.11
2018-01-01,afternoon,6.22,9.6,22.19,1.62,0.49,0.6,0.015,0.91,0.088,17.31,17.94,17.52,23.45,25.94,2.7,65.38,31.18,4.87,466.33
2018-01-01,evening,5.78,6.98,11.55,1.23,0.5,0.43,0.03,0.5,0.077,18.93,15.41,19.87,26.33,29.81,2.6,80.07,25.36,4.33,445.96
2018-01-02,morning,6.46,9.66,30.74,1.09,0.37,1.0,0.041,1.86,0.047,15.29,17.58,15.85,28.35,17.09,2.8,81.64,22.03,2.79,387.9
2018-01-02,afternoon,6.4,8.99,13.17,1.06,0.3,0.99,0.022,0.37,0.042,17.59,18.61,19.92,18.47,29.09,2.27,61.34,29.09,3.31,395.39
2018-01-02,evening,5.85,10.0,21.07,1.31,0.25,0.68,0.028,0.53,0.096,17.27,17.45,15.9,29.31,29.17,2.64,70.44,23.28,3.1,483.0
2018-01-03,morning,6.51,9.28,18.5,0.53,0.38,0.63,0.035,0.24,0.034,16.24,15.51,17.57,28.52,28.9,2.92,68.58,27.25,2.74,449.24
2018-01-03,afternoon,5.59,9.07,13.53,1.61,0.28,0.8,0.048,1.95,0.089,17.15,17.47,15.38,16.55,20.75,2.62,65.36,34.45,3.84,334.93
2018-01-03,evening,6.14,8.87,34.59,1.36,0.46,0.97,0.012,1.78,0.012,15.58,15.24,18.34,18.46,16.92,2.96,80.01,33.75,4.97,316.88
2018-01-04,morning,6.88,9.94,16.51,2.0,0.29,0.45,0.016,0.9,0.05,18.03,16.24,15.97,29.5,28.98,2.92,82.74,21.55,3.46,441.11
2018-01-04,afternoon,6.48,9.5,17.85,0.64,0.26,0.41,0.01,1.32,0.064,16.83,15.24,16.57,18.09,28.04,2.63,61.48,26.43,3.2,362.56
2018-01-04,evening,6.55,5.92,30.85,0.88,0.22,0.98,0.041,1.0,0.037,15.59,19.14,19.9,23.19,22.98,2.23,67.99,26.45,2.65,360.37
2018-01-05,morning,6.24,9.61,15.82,0.68,0.33,0.58,0.017,2.0,0.023,18.36,19.58,16.42,16.74,23.08,2.3,76.29,34.55,3.59,349.65
2018-01-05,afternoon,5.97,7.61,44.38,1.61,0.22,0.75,0.038,1.83,0.017,15.51,15.62,16.23,16.1,19.46,2.3,62.17,28.18,4.47,418.78
2018-01-05,evening,5.81,4.2,11.64,0.63,0.44,0.34,0.025,1.68,0.036,16.46,17.21,19.01,29.88,21.0,2.66,60.8,30.79,3.32,364.29
2018-01-06,morning,6.18,8.9,48.86,0.53,0.35,0.88,0.046,0.72,0.08,16.82,16.98,17.53,26.16,24.45,2.92,61.42,23.55,3.98,335.01
