Date,TimeOfDay,LAT,LON,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Crop_Stage,Rice_Crop_Variety,Season,Duration,Day_of_Leaf_Development,Boron,Soil_ph,Phosphorus,Potassium,Molybdenum,Iron,Sodium,Chlorine,Nickel,Nitrogen,Magnesium,Calcium,Sulphur,Zinc,Copper,Manganese,Soil_Sensitivity_Highly,Soil_Sensitivity_Moderate,Soil_Sensitivity_Insensitive,Leaf_Production_High_Sensitivity_Short,Leaf_Production_High_Sensitivity_Long,Leaf_Production_Low_Sensitivity_Short,Leaf_Production_Low_Sensitivity_Long,Leaf_Initiation_Plastochron,Leaf_Elongation,Leaf_Expansion,Plastochron_Interval,Leaf_Length,Leaf_Width,Leaf_Count,Leaf_Sheath_Length,Lower_Leaf_Length,Lower_Leaf_Width,Middle_Leaf_Length,Middle_Leaf_Width,Flag_Leaf_Length,Flag_Leaf_Width,Vegetative_Duration_Short,Vegetative_Duration_Long,Fungal_Diseases,Protective_Fungicides,Systemic_Fungicides,Curative_Fungicides,Plant_Hormones,Lower_Leaves_Area,Middle_Leaves_Area,Flag_Leaf_Top_Area,Senescence_Initiation,Senescence_Middle_Phase,Senescence_Full_Phase,Light_Intensity_Low,Light_Intensity_Moderate,Light_Intensity_High,Flood_Depth_Ideal,Flood_Depth_Acceptable,Flood_Depth_Excessive,Humidity_Low,Humidity_Moderate,Humidity_High,Humidity_Very_High,Water,Temperature,Radiation,Yield
2018-01-01,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,131,10,0.57,5.62,2.36,18.19,0.024,9.99,19.05,1.93,0.066,18.86,53,26.01,18.7,0.97,0.29,42.74,12,14,16,12,15,18,16,3,1.4,29,3,49,1.04,15,61,18,0.95,43,1.46,22,0.99,75,129,Brown Spot (Bipolaris oryzae),Mancozeb,Pyraclostrobin,Triadimefon,Gibberellins,33,50,67,69,89,120,1,14,16,10,12,19,40,57,71,112,4.39,22.06,499.11,8.14
2018-01-01,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,120,10,0.6,6.22,2.7,17.31,0.015,9.6,17.94,0.91,0.088,17.52,29,23.45,25.94,1.62,0.49,22.19,14,15,16,14,15,16,18,4,1.24,24,5,40,1.42,18,51,17,1.11,46,1.48,30,0.8,73,98,Leaf Smut (Entyloma oryzae),Chlorothalonil,Azoxystrobin,Hexaconazole,Brassinosteroids,40,45,57,66,86,103,2,13,14,10,12,16,15,60,75,96,4.87,31.18,466.33,39.75
2018-01-01,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,128,10,0.43,5.78,2.6,18.93,0.03,6.98,15.41,0.5,0.077,19.87,43,26.33,29.81,1.23,0.5,11.55,14,14,16,14,15,18,18,5,1.29,20,4,37,1.5,13,70,15,1.0,33,1.03,21,0.88,82,116,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Azoxystrobin,Hexaconazole,Auxins,38,46,64,52,76,108,2,14,16,9,12,15,29,68,76,106,4.33,25.36,445.96,64.56
2018-01-02,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,105,11,1.0,6.46,2.8,15.29,0.041,9.66,17.58,1.86,0.047,15.85,51,28.35,17.09,1.09,0.37,30.74,13,16,18,12,14,16,18,3,1.2,39,3,50,1.09,17,70,18,1.06,44,1.09,20,0.96,85,90,Rice Blast (Magnaporthe oryzae),Chlorothalonil,Propiconazole,Triadimefon,Brassinosteroids,38,47,68,70,88,110,1,13,15,10,14,19,26,50,77,113,2.79,22.03,387.9,93.81
2018-01-02,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,102,11,0.99,6.4,2.27,17.59,0.022,8.99,18.61,0.37,0.042,19.92,53,18.47,29.09,1.06,0.3,13.17,13,16,17,14,16,16,17,3,1.46,32,4,42,1.45,18,53,25,0.86,33,1.11,30,1.0,78,94,Brown Spot (Bipolaris oryzae),Copper-based fungicides,Pyraclostrobin,Hexaconazole,Gibberellins,32,45,55,66,88,92,1,13,16,7,10,20,49,56,89,97,3.31,29.09,395.39,89.66
2018-01-02,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,113,11,0.68,5.85,2.64,17.27,0.028,10.0,17.45,0.53,0.096,15.9,47,29.31,29.17,1.31,0.25,21.07,14,14,16,13,14,16,18,4,1.19,25,5,42,1.29,17,55,19,1.01,39,1.45,24,0.87,79,112,Rice Blast (Magnaporthe oryzae),Chlorothalonil,Azoxystrobin,Triadimefon,Auxins,32,53,57,60,80,106,2,12,15,6,12,15,25,68,78,92,3.1,23.28,483.0,18.68
2018-01-03,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,105,12,0.63,6.51,2.92,16.24,0.035,9.28,15.51,0.24,0.034,17.57,60,28.52,28.9,0.53,0.38,18.5,12,14,16,14,15,17,18,3,1.19,39,5,26,1.23,13,57,25,1.18,35,1.31,20,0.83,85,91,Leaf Smut (Entyloma oryzae),Copper-based fungicides,Tebuconazole,Hexaconazole,Auxins,37,59,60,55,89,94,0,13,16,6,13,18,21,54,89,116,2.74,27.25,449.24,12.04
2018-01-03,afternoon,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,90,12,0.8,5.59,2.62,17.15,0.048,9.07,17.47,1.95,0.089,15.38,53,16.55,20.75,1.61,0.28,13.53,13,16,17,12,16,17,18,4,1.04,36,3,32,1.43,15,64,16,0.88,50,1.5,29,0.92,86,103,Brown Spot (Bipolaris oryzae),Chlorothalonil,Pyraclostrobin,Triadimefon,Brassinosteroids,35,54,51,59,73,91,2,14,14,8,13,15,48,70,85,111,3.84,34.45,334.93,44.48
2018-01-03,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,101,12,0.97,6.14,2.96,15.58,0.012,8.87,15.24,1.78,0.012,18.34,30,18.46,16.92,1.36,0.46,34.59,13,15,16,13,14,16,16,4,1.28,46,3,26,1.21,18,59,22,0.8,48,1.09,24,0.85,63,93,Leaf Smut (Entyloma oryzae),Chlorothalonil,Azoxystrobin,Hexaconazole,Brassinosteroids,35,50,56,57,87,95,2,13,15,8,14,15,49,51,88,119,4.97,33.75,316.88,15.4
2018-01-04,morning,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Leaf_Development,Long,Rabi,112,13,0.45,6.88,2.92,18.03,0.016,9.94,16.24,0.9,0.05,15.97,39,29.5,28.98,2.0,0.29,16.51,13,15,18,13,15,18,18,5,1.42,43,3,35,1.28,13,67,17,1.01,39,1.38,28,0.99,64,107,Rice Blast (Magnaporthe oryzae),Chlorothalonil,Propiconazole,Triadimefon,Brassinosteroids,30,60,64,59,87,113,2,12,15,7,15,18,0,70,75,94,3.46,21.55,441.11,43.43
