Date,TimeOfDay,LAT,LON,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Crop_Stage,Crop_Variety_Type,Season,Duration,Day_of_Crop,Soil_Moisture_Content,Soil_Temperature,Soil_pH,Sodium,Nitrogen,Magnesium,Boron,Chlorine,Copper,Iron,Manganese,Molybdenum,Zinc,Nickel,Water_Retention_Capacity,Calcium,Sulphur,Phosphorous,Potassium,Cation_Exchange_Capacity,Electrical_Conductivity,Water_Requirement,Radiation,Ambient_Temperature,Humidity,Sunlight_Exposure,Rainfall,Wind_Speed,Cloud_Cover,Radiation_Exposure,Seed_Vigor_Index,Germination_Rate,Disease_Resistance,Pest_Resistance,Root_Growth_Rate,Shoot_Emergence_Time,Planting_Depth,Seed_Spacing,Vegetation_Index,Seed_Viability,Seed_Moisture_Content,Initial_Fertilizer_Application,Heat_Stress_Index,Water_Stress_Index,Salinity_Stress_Index,Soil_Respiration_Rate,Organic_Matter_Content,Yield
2018-01-17,evening,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Germination,Long,Rabi,150,11,73,28,6.03,16.72,19.96,32,0.7,1.95,0.44,7.61,13.11,0.024,1.2,0.067,54,15.72,20.83,3,19.12,19,1.06,4.5,479.15,29,71,9,227,1,34,368,80,92,58,91,5,3,2,6,0.82,85,9,Urea,0,1,0,0,1,11
2022-12-30,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,143,12,73,27,6.75,17.02,16.82,42,0.98,0.87,0.23,7.2,26.21,0.034,0.74,0.024,86,18.03,22.71,3,17.66,28,0.82,2.99,445.29,30,82,12,159,5,36,361,85,84,11,67,1,7,3,8,0.64,84,12,Urea,0,0,0,3,4,69
2022-12-30,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,143,12,75,23,6.86,19.34,15.03,22,0.65,1.44,0.3,9.04,26.05,0.021,1.62,0.016,90,21.44,29.24,3,18.41,30,0.95,2.92,442.34,32,80,9,65,10,13,431,99,98,39,40,1,7,2,7,0.61,76,8,Urea,1,1,0,4,2,30
2022-12-30,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,143,12,84,25,5.51,18.81,16.63,48,0.67,0.45,0.43,9.58,47.79,0.031,0.64,0.034,72,25.59,28.76,3,18.43,13,0.63,2.94,467.16,34,81,10,210,10,97,378,99,90,16,50,5,5,5,9,0.34,92,12,DAP,1,1,1,6,5,58
2022-12-29,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,160,11,86,29,6.03,17.88,15.18,23,0.98,1.88,0.23,9.12,10.25,0.032,0.59,0.099,50,28.04,18.24,2,16.26,18,0.62,4.16,491.45,31,75,8,50,0,59,369,91,98,70,31,4,5,4,10,0.69,73,11,Urea,0,0,1,2,2,99
2022-12-29,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,160,11,81,32,5.52,19.87,16.95,24,0.55,1.5,0.29,9.58,32.19,0.029,1.15,0.06,50,15.24,26.68,2,17.44,26,0.68,4.19,498.18,34,82,11,180,4,2,373,96,100,86,91,2,6,3,6,0.67,78,12,Potash,1,1,1,3,4,20
2022-12-29,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Long,Rabi,160,11,90,26,6.38,16.09,19.28,45,0.71,1.16,0.38,7.68,43.35,0.045,0.94,0.02,69,26.28,16.39,2,15.57,15,0.65,3.58,407.05,26,64,6,134,3,2,498,89,91,54,5,5,4,2,7,0.6,88,10,DAP,1,1,1,5,2,65
2022-12-28,evening,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,90,10,81,28,6.65,18.81,19.28,33,0.87,0.6,0.37,7.85,41.7,0.044,1.64,0.028,67,22.59,25.38,3,15.03,38,1.03,4.72,498.86,31,65,9,226,4,96,385,99,100,92,41,1,6,3,10,0.7,81,9,DAP,1,1,1,1,5,17
2022-12-28,afternoon,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,90,10,87,21,6.46,16.16,18.46,15,0.72,1.89,0.42,7.95,23.14,0.014,1.76,0.033,79,19.5,15.6,3,15.05,33,0.68,4.58,310.43,26,69,8,100,6,14,388,71,88,36,34,5,9,2,7,0.37,75,8,Urea,1,1,0,7,4,54
2022-12-28,morning,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Germination,Short,Rabi,90,10,85,21,5.68,18.83,15.07,22,0.51,1.93,0.41,8.59,18.32,0.021,0.64,0.014,58,29.18,29.11,3,17.97,32,0.91,3.71,427.76,22,79,6,66,6,18,418,96,84,29,51,5,3,5,10,0.67,80,12,Urea,1,1,0,7,4,67
