Date,TimeOfDay,LAT,LON,Crop_Stage,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Rice_Crop_Variety,Season,Duration,Day_of_Sowing,soil_pH,Iron,Manganese,Zinc,Copper,Boron,Molybdenum,Chlorine,Nickel,Potassium,Sodium,Nitrogen,Calcium,Sulphur,Phosphorous,Yield_Trait,Soil_Moisture_Content,Vegetation_Index,Relative_Humidity,Temperature,Water,Radiation,Magnesium,Disease_Resistance,Pest_Resistance,Drought_Tolerance,Heat_Tolerance,Cold_Tolerance,Plant_Vigor,Plant_Stress_Resilience,Land_Preparation,Biological_Interactions,Pollution,Yield
2018-01-17,evening,13.25,75.25,Sowing,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Medium,Rabi,139,0,6.25,7.61,13.11,1.2,0.44,0.7,0.024,1.95,0.067,19.12,16.72,19.96,15.72,20.83,2,High Yield,84,0.63,77.28,23.07,2.77,479.15,33,76,1,87,30,89,21,75,4,16,11,46.88
2022-12-30,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,118,0,6.88,7.2,26.21,0.74,0.23,0.98,0.034,0.87,0.024,17.66,17.02,16.82,18.03,22.71,2,Hybrid,72,0.85,70.95,32.2,4.33,445.29,37,64,69,41,55,75,92,1,4,11,1,25.66
2022-12-30,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,110,0,6.69,9.04,26.05,1.62,0.3,0.65,0.021,1.44,0.016,18.41,19.34,15.03,21.44,29.24,3,Hybrid,75,0.59,65.22,24.34,3.5,442.34,58,32,99,1,10,6,61,44,8,1,46,0.45
2022-12-30,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,106,0,6.32,9.58,47.79,0.64,0.43,0.67,0.031,0.45,0.034,18.43,18.81,16.63,25.59,28.76,2,Hybrid,78,0.88,61.87,34.55,4.87,467.16,36,44,69,4,65,94,60,40,8,79,11,1.98
2022-12-29,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,139,7,6.19,9.12,10.25,0.59,0.23,0.98,0.032,1.88,0.099,16.26,17.88,15.18,28.04,18.24,2,Hybrid,81,0.68,82.7,20.85,4.97,491.45,47,93,80,99,50,22,58,86,5,86,7,80.95
2022-12-29,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,93,7,6.68,9.58,32.19,1.15,0.29,0.55,0.029,1.5,0.06,17.44,19.87,16.95,15.24,26.68,2,Hybrid,83,0.49,74.51,27.08,2.72,498.18,58,4,32,23,69,90,27,36,10,31,44,10.61
2022-12-29,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,91,7,6.73,7.68,43.35,0.94,0.38,0.71,0.045,1.16,0.02,15.57,16.09,19.28,26.28,16.39,2,Hybrid,79,0.59,77.86,32.57,3.67,407.05,54,13,81,18,30,35,28,56,6,43,10,35.63
2022-12-28,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,126,6,6.82,7.85,41.7,1.64,0.37,0.87,0.044,0.6,0.028,15.03,18.81,19.28,22.59,25.38,2,Hybrid,73,0.32,79.4,22.98,2.6,498.86,41,17,76,43,88,4,37,34,8,15,20,79.55
2022-12-28,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,124,6,6.91,7.95,23.14,1.76,0.42,0.72,0.014,1.89,0.033,15.05,16.16,18.46,19.5,15.6,2,Hybrid,89,0.77,63.21,24.11,3.73,310.43,34,91,39,7,72,87,16,40,6,1,20,31.79
2022-12-28,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,109,6,6.01,8.59,18.32,0.64,0.41,0.51,0.021,1.93,0.014,17.97,18.83,15.07,29.18,29.11,2,Hybrid,89,0.8,77.53,21.48,3.35,427.76,58,73,5,22,96,8,54,32,9,54,39,80.76
2022-12-27,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,95,5,6.45,7.72,41.76,0.63,0.2,0.61,0.029,1.07,0.048,19.76,15.45,19.01,28.09,15.91,2,Hybrid,79,0.74,78.64,22.34,3.75,456.84,27,58,8,66,20,57,3,55,6,93,4,99.93
2022-12-27,afternoon,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,103,5,6.5,8.41,25.45,1.75,0.22,0.33,0.023,1.26,0.018,17.45,16.76,17.21,29.03,24.19,2,Hybrid,78,0.9,66.33,25.61,3.49,314.59,35,87,96,87,79,27,99,95,2,73,11,3.82
2022-12-27,morning,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,108,5,6.0,4.87,36.15,1.09,0.37,0.68,0.024,0.6,0.059,19.24,17.17,18.94,25.06,17.83,3,Hybrid,72,0.31,72.79,21.85,4.46,468.69,56,98,53,61,68,86,93,8,7,90,43,84.87
2022-12-26,evening,13.25,75.25,Sowing,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,131,4,5.87,7.52,10.38,1.55,0.48,0.36,0.022,1.14,0.037,19.57,19.79,17.41,18.04,22.82,2,Hybrid,79,0.73,80.08,27.37,4.47,490.62,53,11,14,10,70,86,63,20,1,53,13,80.66
