PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2018,13.25,75.25,24.22,26.01,28.7,30.02,27.58,24.92,24.38,23.68,24.51,24.95,24.77,24.9,25.72
TS,2018,13.25,75.75,21.41,23.32,26.79,29.05,26.25,23.31,23.15,22.55,23.3,22.91,22.53,22.63,23.93
TS,2018,13.25,76.25,21.79,23.94,27.46,30.53,26.78,23.67,23.84,23.54,24.59,23.15,23.14,23.72,24.67
TS,2018,13.25,76.75,21.87,24.64,28.23,31.47,27.21,24.24,24.51,24.31,25.24,23.49,23.75,24.52,25.29
TS,2018,13.25,77.25,21.06,23.81,28.19,31.55,27.75,24.71,24.83,24.69,25.55,24.04,23.9,24.35,25.37
TS,2018,13.25,77.75,20.55,23.17,27.9,31.27,28.01,24.95,24.99,24.83,25.55,24.07,23.66,23.88,25.24
TS,2018,13.25,78.25,20.69,23.26,27.85,31.31,28.36,25.45,25.49,25.31,25.82,24.05,23.51,23.55,25.39
TS,2018,13.25,78.75,21.03,23.43,28.49,32.55,30.01,27.29,27.13,27.1,27.46,25.58,24.3,23.58,26.51
TS,2018,13.25,79.25,21.75,24.17,29.16,33.74,31.98,29.46,29.31,29.06,28.74,26.57,24.98,23.59,27.72
TS,2018,13.25,79.75,23.14,25.35,29.61,33.74,32.75,30.74,30.41,29.89,29.49,27.75,26.26,24.52,28.65
TS,2018,13.25,80.25,24.8,26.4,29.43,32.44,32.16,30.78,30.28,29.76,29.65,28.83,27.55,25.84,29
TS,2018,13.25,80.75,26.14,26.95,28.73,30.56,30.92,30.01,29.44,29.11,29.38,29.51,28.39,26.95,28.85
TS,2018,13.25,81.25,26.44,26.8,28.15,29.67,30.6,29.65,29.09,28.73,29.12,29.49,28.42,27.23,28.62
TS,2018,13.25,81.75,26.59,26.84,28.19,29.65,30.68,29.77,29.12,28.75,29.1,29.45,28.45,27.4,28.67
TS,2018,13.25,82.25,26.75,26.89,28.2,29.62,30.72,29.86,29.14,28.75,29.09,29.43,28.47,27.55,28.71
TS,2018,13.25,82.75,26.87,26.96,28.17,29.59,30.72,29.89,29.13,28.73,29.07,29.4,28.48,27.6,28.73
TS,2018,13.75,75.25,23.09,25.17,28.33,30.34,27.9,24.78,24.25,23.59,24.46,24.77,24.27,24.11,25.42
TS,2018,13.75,75.75,22.1,24.23,27.62,30.38,27.67,24.12,23.9,23.29,24.4,24.16,23.67,23.49,24.91
TS,2018,13.75,76.25,22.78,25.11,28.37,31.81,28.35,24.73,24.81,24.43,25.83,24.8,24.46,24.55,25.83
TS,2018,13.75,76.75,22.37,25.33,28.76,32.51,28.73,25.24,25.35,25.07,26.14,24.71,24.57,24.74,26.12
TS,2018,13.75,77.25,21.68,24.73,28.92,32.7,29.24,25.8,25.83,25.64,26.44,25.03,24.65,24.59,26.27
TS,2018,13.75,77.75,21.16,23.99,28.86,32.58,29.62,26.18,26.13,25.89,26.51,25.07,24.43,24.24,26.23
TS,2018,13.75,78.25,21.06,23.64,28.86,32.59,30.07,26.67,26.58,26.24,26.69,25.09,24.22,23.88,26.31
TS,2018,13.75,78.75,21.47,24,29.49,33.44,31.32,28.11,27.91,27.73,27.88,26.21,24.89,23.76,27.19
TS,2018,13.75,79.25,22,24.39,29.82,34.19,32.93,29.85,29.66,29.2,28.93,27.16,25.33,23.48,28.09
TS,2018,13.75,79.75,23.41,25.5,29.96,33.82,33.23,31.1,30.74,29.97,29.75,28.37,26.58,24.51,28.92
TS,2018,13.75,80.25,24.97,26.49,29.52,32.27,32.21,31.12,30.52,29.79,29.86,29.26,27.79,25.89,29.15
TS,2018,13.75,80.75,26.1,26.91,28.67,30.31,30.72,30.22,29.45,29.03,29.39,29.6,28.45,26.89,28.82
TS,2018,13.75,81.25,26.33,26.71,28.15,29.6,30.51,29.72,29,28.64,29.09,29.51,28.42,27.01,28.56
TS,2018,13.75,81.75,26.47,26.75,28.18,29.57,30.61,29.71,29.04,28.68,29.07,29.46,28.42,27.13,28.6
TS,2018,13.75,82.25,26.64,26.84,28.18,29.54,30.65,29.74,29.07,28.72,29.04,29.42,28.43,27.32,28.64
TS,2018,13.75,82.75,26.77,26.98,28.16,29.51,30.64,29.76,29.07,28.72,29.03,29.38,28.43,27.46,28.67
TS,2018,14.25,75.25,22.8,25.46,28.69,31.13,28.67,24.96,24.39,23.85,24.62,24.91,24.37,24.04,25.65
TS,2018,14.25,75.75,23.68,26.24,29.28,32.27,29.48,25.08,24.87,24.38,25.78,25.82,25.31,24.93,26.42
TS,2018,14.25,76.25,23.77,26.18,29.19,32.77,29.82,25.46,25.55,25.17,26.98,26.35,25.63,25.07,26.82
TS,2018,14.25,76.75,23.4,26.1,29.48,33.56,30.59,26.23,26.46,26.11,27.38,26.15,25.69,25.09,27.19
