Date,TimeOfDay,Crop_Stage,LAT,LON,TS,T2M,RH2M,WS2M,T2MDEW,GWETTOP,CLOUD_AMT,PRECTOTCORR,Rice_Crop_Variety,Season,Duration,Day_of_Tillering,Boron,Soil_Ph,Molybdenum,Chlorine,Nickel,Sulphur,Phosphorus,Potassium,Sodium,Nitrogen,Calcium,Zinc,Copper,Manganese,Iron,Water_Requirement,Radiation_Exposure,Magnesium,Leaf_Initiation_Plastochron,Leaf_Elongation,Radiation,Leaf_Expansion,Leaf_Length,Leaf_Width,Leaf_Count,Lower_Leaf_Length,Lower_Leaf_Width,Middle_Leaf_Length,Middle_Leaf_Width,Vegetation_Leaf_Area_Index,Vegetation_Chlorophyll_Content,Vegetation_Water_Stress_Index,Vegetation_Soil_Organic_Matter,Vegetation_Cloud_Cover,Vegetation_Temperature_Range,Soil_Sensitivity_Highly,Soil_Sensitivity_Moderate,Light_Intensity_Low,Light_Intensity_Moderate,Flood_Depth_Ideal,Humidity_Moderate,Humidity_High,Yield
2018-01-17,evening,Tillering,13.25,75.25,24.22,23.57,63.21,1.11,15.3,0.5,21.75,0.0,Medium,Rabi,121,25,0.7,5.69,0.024,1.95,0.067,20.83,2.84,19.12,16.72,19.96,15.72,1.2,0.44,13.11,7.61,3.98,389,478,4,1.35,479.15,49,36,1.26,15,21,0.81,44,1.35,3.08,45,0.14,1.81,14,30,13,15,1,12,9,59,89,39.94
2022-12-30,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,131,21,0.98,5.76,0.034,0.87,0.024,22.71,2.57,17.66,17.02,16.82,18.03,0.74,0.23,26.21,7.2,3.23,347,354,3,1.15,445.29,23,34,1.19,14,17,0.96,43,1.35,2.67,39,0.27,1.66,15,25,13,15,2,14,9,51,83,34.41
2022-12-30,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Rabi,128,21,0.65,7.0,0.021,1.44,0.016,29.24,2.33,18.41,19.34,15.03,21.44,1.62,0.3,26.05,9.04,2.57,441,437,5,1.28,442.34,44,46,1.3,17,25,0.9,39,1.12,4.21,44,0.28,1.61,6,28,12,14,1,13,6,60,78,2.31
2022-12-30,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Kharif,138,21,0.67,5.74,0.031,0.45,0.034,28.76,2.87,18.43,18.81,16.63,25.59,0.64,0.43,47.79,9.58,4.65,314,407,3,1.01,467.16,23,23,1.32,15,18,0.92,33,1.07,2.95,38,0.07,1.6,8,27,13,15,0,14,6,70,78,25.06
2022-12-29,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Medium,Rabi,123,32,0.98,5.83,0.032,1.88,0.099,18.24,2.67,16.26,17.88,15.18,28.04,0.59,0.23,10.25,9.12,3.11,336,455,4,1.28,491.45,43,22,1.29,13,20,0.89,48,1.17,3.31,40,0.08,1.65,19,28,14,16,2,12,6,69,84,27.87
2022-12-29,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Rabi,103,32,0.55,5.89,0.029,1.5,0.06,26.68,2.21,17.44,19.87,16.95,15.24,1.15,0.29,32.19,9.58,2.99,479,323,3,1.02,498.18,35,27,1.31,15,17,0.83,48,1.38,3.51,36,0.38,1.53,4,27,13,16,1,14,5,50,78,47.72
2022-12-29,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,117,32,0.71,6.43,0.045,1.16,0.02,16.39,2.41,15.57,16.09,19.28,26.28,0.94,0.38,43.35,7.68,3.71,338,346,3,1.3,407.05,41,44,1.17,12,15,0.95,43,1.27,3.44,38,0.3,1.86,15,29,13,16,0,12,7,69,87,93.27
2022-12-28,evening,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,101,31,0.87,5.99,0.044,0.6,0.028,25.38,2.81,15.03,18.81,19.28,22.59,1.64,0.37,41.7,7.85,4.05,387,435,4,1.45,498.86,34,27,1.01,15,17,0.86,50,1.32,4.23,39,0.06,1.94,1,29,12,15,0,14,10,62,75,37.87
2022-12-28,afternoon,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Long,Kharif,103,31,0.72,6.26,0.014,1.89,0.033,15.6,2.94,15.05,16.16,18.46,19.5,1.76,0.42,23.14,7.95,4.68,464,354,3,1.38,310.43,35,32,1.46,17,16,0.89,36,1.3,3.94,41,0.23,1.65,16,28,14,16,2,14,9,58,89,67.61
2022-12-28,morning,Tillering,13.25,75.25,23.79,23.53,77.12,1.02,18.91,0.72,41.21,1.21,Short,Kharif,118,31,0.51,5.52,0.021,1.93,0.014,29.11,2.73,17.97,18.83,15.07,29.18,0.64,0.41,18.32,8.59,3.47,401,309,5,1.2,427.76,24,27,1.11,16,25,0.82,40,1.33,2.87,35,0.11,1.99,18,25,12,16,0,14,9,56,80,73.71
